subject,pipeline,split,acc
1,TensorCSPNet,train,0.5555555555555556
1,TensorCSPNet,test,0.4861111111111111
2,TensorCSPNet,train,0.7638888888888888
2,TensorCSPNet,test,0.4375
3,TensorCSPNet,train,0.8993055555555556
3,TensorCSPNet,test,0.5902777777777778
4,TensorCSPNet,train,0.7430555555555556
4,TensorCSPNet,test,0.3854166666666667
5,TensorCSPNet,train,0.9409722222222222
5,TensorCSPNet,test,0.4444444444444444
6,TensorCSPNet,train,0.9444444444444444
6,TensorCSPNet,test,0.3090277777777778
7,TensorCSPNet,train,0.9375
7,TensorCSPNet,test,0.4965277777777778
8,TensorCSPNet,train,0.96875
8,TensorCSPNet,test,0.53125
9,TensorCSPNet,train,0.9340277777777778
9,TensorCSPNet,test,0.5833333333333334
